trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_start_abs,stim_end_abs,raw_samples,epoch_saved
1,5,20.000,2026-03-17T10:29:07.293,2026-03-17T10:29:09.314,2026-03-17T10:29:10.834,1,2026-03-17T10:29:09.333,1,2026-03-17T10:29:09.314,1,2026-03-17T10:29:10.834,3000,4520,1520,1
2,4,15.000,2026-03-17T10:29:11.853,2026-03-17T10:29:13.874,2026-03-17T10:29:15.394,1,2026-03-17T10:29:13.893,1,2026-03-17T10:29:13.874,1,2026-03-17T10:29:15.394,7560,9080,1520,1
3,8,45.000,2026-03-17T10:29:16.414,2026-03-17T10:29:18.434,2026-03-17T10:29:19.954,1,2026-03-17T10:29:18.453,1,2026-03-17T10:29:18.434,1,2026-03-17T10:29:19.954,12120,13640,1520,1
