trial_id,target_id,target_frequency_hz,trial_prepared_wall_time,trial_start_wall_time,trial_end_wall_time,planned_duration_s,actual_duration_s,start_trial_id,start_status
1,1,8.000,2026-03-18T11:51:25.913,2026-03-18T11:51:30.014,2026-03-18T11:51:34.015,4.000,4.000,1,started
2,8,45.000,2026-03-18T11:51:35.954,2026-03-18T11:51:40.074,2026-03-18T11:51:44.074,4.000,4.000,2,started
3,6,30.000,2026-03-18T11:51:46.474,2026-03-18T11:51:50.594,2026-03-18T11:51:54.615,4.000,4.020,3,started
4,6,30.000,2026-03-18T11:51:59.514,2026-03-18T11:52:03.614,2026-03-18T11:52:07.634,4.000,4.020,4,started
5,6,30.000,2026-03-18T11:52:15.194,2026-03-18T11:52:19.294,2026-03-18T11:52:23.295,4.000,4.000,5,started
