trial_id,target_id,target_frequency_hz,trial_prepared_wall_time,trial_start_wall_time,trial_end_wall_time,planned_duration_s,actual_duration_s,start_trial_id,start_status
1,6,30.000,2026-03-18T11:44:37.711,2026-03-18T11:44:41.791,2026-03-18T11:44:45.791,4.000,4.000,1,started
2,7,40.000,2026-03-18T11:44:47.690,2026-03-18T11:44:51.791,2026-03-18T11:44:55.791,4.000,4.000,2,started
