trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,5,5,2026-03-18T15:13:26.221,2026-03-18T15:13:30.240,8866,12887,4022,1
2,2,2,2026-03-18T15:13:36.621,2026-03-18T15:13:40.640,19270,23290,4021,1
3,1,1,2026-03-18T15:13:53.220,2026-03-18T15:13:57.241,35874,39897,4024,1
