trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
13,7,40.000,2026-03-17T10:40:46.065,2026-03-17T10:40:48.085,2026-03-17T10:40:49.604,1,2026-03-17T10:40:48.104,1,2026-03-17T10:40:48.085,1,2026-03-17T10:40:49.604,57720,59280,57835,59354,1520,1,1
14,8,45.000,2026-03-17T10:40:50.625,2026-03-17T10:40:52.644,2026-03-17T10:40:54.164,1,2026-03-17T10:40:52.664,1,2026-03-17T10:40:52.644,1,2026-03-17T10:40:54.164,62320,63840,62394,63914,1521,1,1
15,3,12.000,2026-03-17T10:40:55.185,2026-03-17T10:40:57.204,2026-03-17T10:40:58.724,1,2026-03-17T10:40:57.224,1,2026-03-17T10:40:57.204,1,2026-03-17T10:40:58.724,66880,68400,66953,68473,1521,1,1
16,7,40.000,2026-03-17T10:40:59.745,2026-03-17T10:41:01.764,2026-03-17T10:41:03.284,1,2026-03-17T10:41:01.784,1,2026-03-17T10:41:01.764,1,2026-03-17T10:41:03.284,71440,72960,71513,73034,1522,1,1
17,8,45.000,2026-03-17T10:41:04.305,2026-03-17T10:41:06.324,2026-03-17T10:41:07.844,1,2026-03-17T10:41:06.344,1,2026-03-17T10:41:06.324,1,2026-03-17T10:41:07.844,76000,77520,76073,77594,1522,1,1
18,4,15.000,2026-03-17T10:41:08.865,2026-03-17T10:41:10.884,2026-03-17T10:41:12.404,1,2026-03-17T10:41:10.904,1,2026-03-17T10:41:10.884,1,2026-03-17T10:41:12.404,80560,82080,80634,82154,1521,1,1
19,1,8.000,2026-03-17T10:41:13.425,2026-03-17T10:41:15.444,2026-03-17T10:41:16.964,1,2026-03-17T10:41:15.464,1,2026-03-17T10:41:15.444,1,2026-03-17T10:41:16.964,85120,86640,85194,86714,1521,1,1
20,5,20.000,2026-03-17T10:41:17.985,2026-03-17T10:41:20.004,2026-03-17T10:41:21.524,1,2026-03-17T10:41:20.024,1,2026-03-17T10:41:20.004,1,2026-03-17T10:41:21.524,89680,91200,89754,91274,1521,1,1
21,8,45.000,2026-03-17T10:41:22.545,2026-03-17T10:41:24.564,2026-03-17T10:41:26.084,1,2026-03-17T10:41:24.584,1,2026-03-17T10:41:24.564,1,2026-03-17T10:41:26.084,94240,95760,94314,95834,1521,1,1
22,2,10.000,2026-03-17T10:41:27.105,2026-03-17T10:41:29.124,2026-03-17T10:41:30.644,1,2026-03-17T10:41:29.144,1,2026-03-17T10:41:29.124,1,2026-03-17T10:41:30.644,98800,100320,98874,100394,1521,1,1
23,2,10.000,2026-03-17T10:41:31.665,2026-03-17T10:41:33.684,2026-03-17T10:41:35.204,1,2026-03-17T10:41:33.704,1,2026-03-17T10:41:33.684,1,2026-03-17T10:41:35.204,103360,104880,103434,104954,1521,1,1
24,3,12.000,2026-03-17T10:41:36.225,2026-03-17T10:41:38.244,2026-03-17T10:41:39.764,1,2026-03-17T10:41:38.264,1,2026-03-17T10:41:38.244,1,2026-03-17T10:41:39.764,107920,109440,107995,109514,1520,1,1
