trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,6,30.000,2026-03-17T10:39:51.345,2026-03-17T10:39:53.364,2026-03-17T10:39:54.884,1,2026-03-17T10:39:53.384,1,2026-03-17T10:39:53.364,1,2026-03-17T10:39:54.884,3040,4560,3114,4634,1521,1,1
2,2,10.000,2026-03-17T10:39:55.905,2026-03-17T10:39:57.924,2026-03-17T10:39:59.444,1,2026-03-17T10:39:57.944,1,2026-03-17T10:39:57.924,1,2026-03-17T10:39:59.444,7600,9120,7674,9194,1521,1,1
3,3,12.000,2026-03-17T10:40:00.465,2026-03-17T10:40:02.484,2026-03-17T10:40:04.004,1,2026-03-17T10:40:02.504,1,2026-03-17T10:40:02.484,1,2026-03-17T10:40:04.004,12160,13680,12234,13754,1521,1,1
4,6,30.000,2026-03-17T10:40:05.025,2026-03-17T10:40:07.044,2026-03-17T10:40:08.564,1,2026-03-17T10:40:07.064,1,2026-03-17T10:40:07.044,1,2026-03-17T10:40:08.564,16720,18240,16794,18314,1521,1,1
5,4,15.000,2026-03-17T10:40:09.584,2026-03-17T10:40:11.604,2026-03-17T10:40:13.124,1,2026-03-17T10:40:11.624,1,2026-03-17T10:40:11.604,1,2026-03-17T10:40:13.124,21280,22800,21354,22874,1521,1,1
6,4,15.000,2026-03-17T10:40:14.145,2026-03-17T10:40:16.164,2026-03-17T10:40:17.685,1,2026-03-17T10:40:16.184,1,2026-03-17T10:40:16.164,1,2026-03-17T10:40:17.685,25800,27240,25915,27435,1521,1,1
7,1,8.000,2026-03-17T10:40:18.705,2026-03-17T10:40:20.724,2026-03-17T10:40:22.244,1,2026-03-17T10:40:20.744,1,2026-03-17T10:40:20.724,1,2026-03-17T10:40:22.244,30400,31920,30473,31993,1521,1,1
8,1,8.000,2026-03-17T10:40:23.265,2026-03-17T10:40:25.284,2026-03-17T10:40:26.804,1,2026-03-17T10:40:25.304,1,2026-03-17T10:40:25.284,1,2026-03-17T10:40:26.804,34960,36480,35034,36554,1521,1,1
9,5,20.000,2026-03-17T10:40:27.825,2026-03-17T10:40:29.844,2026-03-17T10:40:31.364,1,2026-03-17T10:40:29.864,1,2026-03-17T10:40:29.844,1,2026-03-17T10:40:31.364,39520,41040,39593,41113,1521,1,1
10,5,20.000,2026-03-17T10:40:32.385,2026-03-17T10:40:34.404,2026-03-17T10:40:35.924,1,2026-03-17T10:40:34.424,1,2026-03-17T10:40:34.404,1,2026-03-17T10:40:35.924,44080,45600,44153,45673,1521,1,1
11,7,40.000,2026-03-17T10:40:36.945,2026-03-17T10:40:38.964,2026-03-17T10:40:40.484,1,2026-03-17T10:40:38.984,1,2026-03-17T10:40:38.964,1,2026-03-17T10:40:40.484,48640,50160,48714,50234,1521,1,1
12,6,30.000,2026-03-17T10:40:41.505,2026-03-17T10:40:43.524,2026-03-17T10:40:45.044,1,2026-03-17T10:40:43.544,1,2026-03-17T10:40:43.524,1,2026-03-17T10:40:45.044,53200,54720,53274,54794,1521,1,1
