trial_id,target_id,target_frequency_hz,trial_prepared_wall_time,trial_start_wall_time,trial_end_wall_time,planned_duration_s,actual_duration_s,start_trial_id,start_status
1,6,30.000,2026-03-18T11:55:40.895,2026-03-18T11:55:46.586,2026-03-18T11:55:50.606,4.000,4.020,1,started
2,5,20.000,2026-03-18T11:55:55.886,2026-03-18T11:55:59.966,2026-03-18T11:56:03.986,4.000,4.020,2,started
3,8,45.000,2026-03-18T11:56:07.066,2026-03-18T11:56:11.206,2026-03-18T11:56:15.206,4.000,4.000,3,started
4,6,30.000,2026-03-18T11:56:19.486,2026-03-18T11:56:23.566,2026-03-18T11:56:27.566,4.000,4.000,4,started
5,1,8.000,2026-03-18T11:56:30.566,2026-03-18T11:56:34.706,2026-03-18T11:56:38.726,4.000,4.020,5,started
