trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,1,1,2026-03-18T13:38:33.601,2026-03-18T13:38:37.601,5180,9177,3998,1
2,1,1,2026-03-18T13:38:44.201,2026-03-18T13:38:48.201,15775,19773,3999,1
3,1,1,2026-03-18T13:38:54.981,2026-03-18T13:38:59.000,26550,30567,4018,1
4,6,6,2026-03-18T13:39:09.341,2026-03-18T13:39:13.360,40904,44922,4019,1
5,2,2,2026-03-18T13:39:22.701,2026-03-18T13:39:26.720,54259,58277,4019,1
