trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,5,5,2026-03-18T11:33:39.262,2026-03-18T11:33:43.283,5239,9261,4023,1
2,1,1,2026-03-18T11:33:47.523,2026-03-18T11:33:51.542,13500,17519,4020,1
3,4,4,2026-03-18T11:33:55.742,2026-03-18T11:33:59.742,21719,25721,4003,1
4,3,3,2026-03-18T11:34:04.003,2026-03-18T11:34:08.022,29982,34002,4021,1
5,1,1,2026-03-18T11:34:12.262,2026-03-18T11:34:16.283,38245,42269,4025,1
