trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,8,45.000,2026-03-17T15:02:40.104,2026-03-17T15:02:42.124,2026-03-17T15:02:43.645,1,2026-03-17T15:02:42.144,1,2026-03-17T15:02:42.124,1,2026-03-17T15:02:43.645,2560,4320,3162,4678,1517,1,1
2,6,30.000,2026-03-17T15:02:44.665,2026-03-17T15:02:46.683,2026-03-17T15:02:48.203,1,2026-03-17T15:02:46.704,1,2026-03-17T15:02:46.683,1,2026-03-17T15:02:48.204,7560,9080,7716,9236,1521,1,1
3,2,10.000,2026-03-17T15:02:49.225,2026-03-17T15:02:51.244,2026-03-17T15:02:52.763,1,2026-03-17T15:02:51.264,1,2026-03-17T15:02:51.244,1,2026-03-17T15:02:52.764,12200,13720,12277,13797,1521,1,1
4,5,20.000,2026-03-17T15:02:53.785,2026-03-17T15:02:55.803,2026-03-17T15:02:57.324,1,2026-03-17T15:02:55.823,1,2026-03-17T15:02:55.803,1,2026-03-17T15:02:57.324,16760,18280,16837,18357,1521,1,1
5,2,10.000,2026-03-17T15:02:58.344,2026-03-17T15:03:00.364,2026-03-17T15:03:01.883,1,2026-03-17T15:03:00.384,1,2026-03-17T15:03:00.364,1,2026-03-17T15:03:01.883,21320,22840,21397,22917,1521,1,1
6,1,8.000,2026-03-17T15:03:02.904,2026-03-17T15:03:04.924,2026-03-17T15:03:06.444,1,2026-03-17T15:03:04.943,1,2026-03-17T15:03:04.924,1,2026-03-17T15:03:06.444,25880,27400,25957,27477,1521,1,1
7,1,8.000,2026-03-17T15:03:07.464,2026-03-17T15:03:09.484,2026-03-17T15:03:11.003,1,2026-03-17T15:03:09.504,1,2026-03-17T15:03:09.484,1,2026-03-17T15:03:11.004,30440,31960,30517,32037,1521,1,1
8,8,45.000,2026-03-17T15:03:12.025,2026-03-17T15:03:14.044,2026-03-17T15:03:15.563,1,2026-03-17T15:03:14.064,1,2026-03-17T15:03:14.044,1,2026-03-17T15:03:15.563,33680,34960,35086,-1,0,0,0
9,5,20.000,2026-03-17T15:03:16.585,2026-03-17T15:03:18.603,2026-03-17T15:03:20.124,1,2026-03-17T15:03:18.624,1,2026-03-17T15:03:18.603,1,2026-03-17T15:03:20.124,39560,41080,39637,41157,1521,1,1
10,3,12.000,2026-03-17T15:03:21.144,2026-03-17T15:03:23.163,2026-03-17T15:03:24.683,1,2026-03-17T15:03:23.184,1,2026-03-17T15:03:23.163,1,2026-03-17T15:03:24.684,44120,45640,44197,45717,1521,1,1
11,8,45.000,2026-03-17T15:03:25.705,2026-03-17T15:03:27.724,2026-03-17T15:03:29.243,1,2026-03-17T15:03:27.743,1,2026-03-17T15:03:27.724,1,2026-03-17T15:03:29.244,48640,50200,48758,50277,1520,1,1
12,5,20.000,2026-03-17T15:03:30.265,2026-03-17T15:03:32.283,2026-03-17T15:03:33.804,1,2026-03-17T15:03:32.304,1,2026-03-17T15:03:32.283,1,2026-03-17T15:03:33.804,53240,54720,53317,54838,1522,1,1
13,6,30.000,2026-03-17T15:03:34.824,2026-03-17T15:03:36.844,2026-03-17T15:03:38.364,1,2026-03-17T15:03:36.864,1,2026-03-17T15:03:36.844,1,2026-03-17T15:03:38.364,57760,59280,57878,59398,1521,1,1
14,1,8.000,2026-03-17T15:03:39.384,2026-03-17T15:03:41.404,2026-03-17T15:03:42.923,1,2026-03-17T15:03:41.424,1,2026-03-17T15:03:41.405,1,2026-03-17T15:03:42.923,62320,63880,62438,63957,1520,1,1
15,7,40.000,2026-03-17T15:03:43.944,2026-03-17T15:03:45.964,2026-03-17T15:03:47.484,1,2026-03-17T15:03:45.984,1,2026-03-17T15:03:45.964,1,2026-03-17T15:03:47.484,66880,68280,66997,68518,1522,1,1
16,7,40.000,2026-03-17T15:03:48.505,2026-03-17T15:03:50.523,2026-03-17T15:03:52.044,1,2026-03-17T15:03:50.543,1,2026-03-17T15:03:50.524,1,2026-03-17T15:03:52.044,71480,73000,71557,73077,1521,1,1
17,4,15.000,2026-03-17T15:03:53.065,2026-03-17T15:03:55.083,2026-03-17T15:03:56.604,1,2026-03-17T15:03:55.104,1,2026-03-17T15:03:55.084,1,2026-03-17T15:03:56.604,76040,77560,76117,77637,1521,1,1
18,3,12.000,2026-03-17T15:03:57.623,2026-03-17T15:03:59.644,2026-03-17T15:04:01.164,1,2026-03-17T15:03:59.663,1,2026-03-17T15:03:59.644,1,2026-03-17T15:04:01.164,80600,82120,80676,82196,1521,1,1
19,4,15.000,2026-03-17T15:04:02.185,2026-03-17T15:04:04.203,2026-03-17T15:04:05.723,1,2026-03-17T15:04:04.223,1,2026-03-17T15:04:04.203,1,2026-03-17T15:04:05.723,85160,86680,85236,86756,1521,1,1
20,7,40.000,2026-03-17T15:04:06.744,2026-03-17T15:04:08.763,2026-03-17T15:04:10.283,1,2026-03-17T15:04:08.783,1,2026-03-17T15:04:08.764,1,2026-03-17T15:04:10.284,89720,91240,89796,91316,1521,1,1
21,3,12.000,2026-03-17T15:04:11.305,2026-03-17T15:04:13.324,2026-03-17T15:04:14.844,1,2026-03-17T15:04:13.343,1,2026-03-17T15:04:13.324,1,2026-03-17T15:04:14.844,94280,95800,94356,95877,1522,1,1
22,2,10.000,2026-03-17T15:04:15.864,2026-03-17T15:04:17.884,2026-03-17T15:04:19.403,1,2026-03-17T15:04:17.904,1,2026-03-17T15:04:17.884,1,2026-03-17T15:04:19.404,98840,100360,98916,100436,1521,1,1
23,6,30.000,2026-03-17T15:04:20.425,2026-03-17T15:04:22.444,2026-03-17T15:04:23.965,1,2026-03-17T15:04:22.464,1,2026-03-17T15:04:22.444,1,2026-03-17T15:04:23.965,103360,104880,103477,104998,1522,1,1
24,4,15.000,2026-03-17T15:04:24.984,2026-03-17T15:04:27.003,2026-03-17T15:04:28.523,1,2026-03-17T15:04:27.023,1,2026-03-17T15:04:27.003,1,2026-03-17T15:04:28.523,107960,109480,108036,109556,1521,1,1
