trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,5,20.000,2026-03-18T11:33:39.262,2026-03-18T11:33:43.283,started,1,2026-03-18T11:33:39.262,1,2026-03-18T11:33:43.283,5160,9160,5239,9261,4023,1,1
2,1,8.000,2026-03-18T11:33:47.523,2026-03-18T11:33:51.542,started,1,2026-03-18T11:33:47.523,1,2026-03-18T11:33:51.542,13400,17440,13500,17519,4020,1,1
3,4,15.000,2026-03-18T11:33:55.742,2026-03-18T11:33:59.742,started,1,2026-03-18T11:33:55.742,1,2026-03-18T11:33:59.742,21640,25640,21719,25721,4003,1,1
4,3,12.000,2026-03-18T11:34:04.003,2026-03-18T11:34:08.022,started,1,2026-03-18T11:34:04.003,1,2026-03-18T11:34:08.022,29880,33920,29982,34002,4021,1,1
5,1,8.000,2026-03-18T11:34:12.262,2026-03-18T11:34:16.283,started,1,2026-03-18T11:34:12.262,1,2026-03-18T11:34:16.283,38160,42160,38245,42269,4025,1,1
6,7,40.000,,,not_started,0,,0,,-1,-1,-1,-1,0,0,0
