trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,1,1,2026-03-18T11:51:30.014,2026-03-18T11:51:34.015,7591,11591,4001,1
2,8,8,2026-03-18T11:51:40.074,2026-03-18T11:51:44.074,17648,21648,4001,1
3,6,6,2026-03-18T11:51:50.594,2026-03-18T11:51:54.615,28167,32188,4022,1
4,6,6,2026-03-18T11:52:03.614,2026-03-18T11:52:07.634,41185,45203,4019,1
5,6,6,2026-03-18T11:52:19.294,2026-03-18T11:52:23.295,56861,60860,4000,1
