trial_id,target_id,target_frequency_hz,trial_prepared_wall_time,trial_start_wall_time,trial_end_wall_time,planned_duration_s,actual_duration_s,start_trial_id,start_status
1,1,8.000,2026-03-18T13:38:29.500,2026-03-18T13:38:33.601,2026-03-18T13:38:37.601,4.000,4.000,1,started
2,1,8.000,2026-03-18T13:38:40.081,2026-03-18T13:38:44.201,2026-03-18T13:38:48.201,4.000,4.000,2,started
3,1,8.000,2026-03-18T13:38:50.900,2026-03-18T13:38:54.981,2026-03-18T13:38:59.000,4.000,4.020,3,started
4,6,30.000,2026-03-18T13:39:05.224,2026-03-18T13:39:09.341,2026-03-18T13:39:13.360,4.000,4.020,4,started
5,2,10.000,2026-03-18T13:39:18.581,2026-03-18T13:39:22.701,2026-03-18T13:39:26.720,4.000,4.020,5,started
