trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,6,6,2026-03-18T11:44:41.791,2026-03-18T11:44:45.791,5149,9145,3997,1
2,7,7,2026-03-18T11:44:51.791,2026-03-18T11:44:55.791,15140,19137,3998,1
