trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,6,30.000,2026-03-18T11:55:46.586,2026-03-18T11:55:50.606,started,1,2026-03-18T11:55:46.586,1,2026-03-18T11:55:50.606,3920,3920,-1,-1,0,0,0
2,5,20.000,2026-03-18T11:55:59.966,2026-03-18T11:56:03.986,started,1,2026-03-18T11:55:59.966,1,2026-03-18T11:56:03.986,3920,3920,-1,-1,0,0,0
3,8,45.000,2026-03-18T11:56:11.206,2026-03-18T11:56:15.206,started,1,2026-03-18T11:56:11.206,1,2026-03-18T11:56:15.206,3920,3920,-1,-1,0,0,0
4,6,30.000,2026-03-18T11:56:23.566,2026-03-18T11:56:27.566,started,1,2026-03-18T11:56:23.566,1,2026-03-18T11:56:27.566,3920,3920,-1,-1,0,0,0
5,1,8.000,2026-03-18T11:56:34.706,2026-03-18T11:56:38.726,started,1,2026-03-18T11:56:34.706,1,2026-03-18T11:56:38.726,3920,3920,-1,-1,0,0,0
