trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,7,40.000,2026-03-18T15:02:07.656,2026-03-18T15:02:11.656,started,1,2026-03-18T15:02:07.656,1,2026-03-18T15:02:11.656,6520,10520,6596,10597,4002,1,1
2,8,45.000,2026-03-18T15:02:20.096,2026-03-18T15:02:24.117,started,1,2026-03-18T15:02:20.096,1,2026-03-18T15:02:24.117,18960,22960,19040,23062,4023,1,1
3,7,40.000,2026-03-18T15:02:31.317,2026-03-18T15:02:35.317,started,1,2026-03-18T15:02:31.317,1,2026-03-18T15:02:35.317,30160,34160,30264,34265,4002,1,1
4,5,20.000,2026-03-18T15:02:39.917,2026-03-18T15:02:43.917,started,1,2026-03-18T15:02:39.917,1,2026-03-18T15:02:43.917,38760,42760,38866,42868,4003,1,1
5,6,30.000,2026-03-18T15:02:49.437,2026-03-18T15:02:53.437,started,1,2026-03-18T15:02:49.437,1,2026-03-18T15:02:53.437,48280,52280,48389,52391,4003,1,1
