trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,3,12.000,2026-03-18T13:40:30.850,2026-03-18T13:40:34.869,started,1,2026-03-18T13:40:30.850,1,2026-03-18T13:40:34.869,5760,9800,5865,9883,4019,1,1
2,8,45.000,2026-03-18T13:40:42.029,2026-03-18T13:40:46.030,started,1,2026-03-18T13:40:42.029,1,2026-03-18T13:40:46.030,16960,20960,17041,21040,4000,1,1
3,7,40.000,2026-03-18T13:40:52.690,2026-03-18T13:40:56.690,started,1,2026-03-18T13:40:52.690,1,2026-03-18T13:40:56.690,27600,31600,27698,31697,4000,1,1
4,8,45.000,2026-03-18T13:41:02.330,2026-03-18T13:41:06.330,started,1,2026-03-18T13:41:02.330,1,2026-03-18T13:41:06.330,37240,41240,37335,41334,4000,1,1
5,1,8.000,2026-03-18T13:41:11.730,2026-03-18T13:41:15.750,started,1,2026-03-18T13:41:11.730,1,2026-03-18T13:41:15.750,46640,50640,46732,50750,4019,1,1
6,4,15.000,,,not_started,0,,0,,-1,-1,-1,-1,0,0,0
