trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,3,12.000,2026-03-18T14:54:31.814,2026-03-18T14:54:35.833,started,1,2026-03-18T14:54:31.814,1,2026-03-18T14:54:35.833,7640,11680,7749,11768,4020,1,1
2,4,15.000,2026-03-18T14:54:47.553,2026-03-18T14:54:51.574,started,1,2026-03-18T14:54:47.553,1,2026-03-18T14:54:51.574,23400,27400,23488,27509,4022,1,1
