trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,3,3,2026-03-18T13:40:30.850,2026-03-18T13:40:34.869,5865,9883,4019,1
2,8,8,2026-03-18T13:40:42.029,2026-03-18T13:40:46.030,17041,21040,4000,1
3,7,7,2026-03-18T13:40:52.690,2026-03-18T13:40:56.690,27698,31697,4000,1
4,8,8,2026-03-18T13:41:02.330,2026-03-18T13:41:06.330,37335,41334,4000,1
5,1,1,2026-03-18T13:41:11.730,2026-03-18T13:41:15.750,46732,50750,4019,1
