trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,1,8.000,2026-03-18T13:38:33.601,2026-03-18T13:38:37.601,started,1,2026-03-18T13:38:33.601,1,2026-03-18T13:38:37.601,5080,9080,5180,9177,3998,1,1
2,1,8.000,2026-03-18T13:38:44.201,2026-03-18T13:38:48.201,started,1,2026-03-18T13:38:44.201,1,2026-03-18T13:38:48.201,15680,19680,15775,19773,3999,1,1
3,1,8.000,2026-03-18T13:38:54.981,2026-03-18T13:38:59.000,started,1,2026-03-18T13:38:54.981,1,2026-03-18T13:38:59.000,26440,30480,26550,30567,4018,1,1
4,6,30.000,2026-03-18T13:39:09.341,2026-03-18T13:39:13.360,started,1,2026-03-18T13:39:09.341,1,2026-03-18T13:39:13.360,40800,44840,40904,44922,4019,1,1
5,2,10.000,2026-03-18T13:39:22.701,2026-03-18T13:39:26.720,started,1,2026-03-18T13:39:22.701,1,2026-03-18T13:39:26.720,54160,58200,54259,58277,4019,1,1
