trial_id,target_id,target_frequency_hz,trial_prepared_wall_time,trial_start_wall_time,trial_end_wall_time,planned_duration_s,actual_duration_s,start_trial_id,start_status
1,7,40.000,2026-03-18T15:02:03.557,2026-03-18T15:02:07.656,2026-03-18T15:02:11.656,4.000,4.000,1,started
2,8,45.000,2026-03-18T15:02:15.997,2026-03-18T15:02:20.096,2026-03-18T15:02:24.117,4.000,4.020,2,started
3,7,40.000,2026-03-18T15:02:27.176,2026-03-18T15:02:31.317,2026-03-18T15:02:35.317,4.000,4.000,3,started
4,5,20.000,2026-03-18T15:02:35.797,2026-03-18T15:02:39.917,2026-03-18T15:02:43.917,4.000,4.000,4,started
5,6,30.000,2026-03-18T15:02:45.336,2026-03-18T15:02:49.437,2026-03-18T15:02:53.437,4.000,4.000,5,started
