trial_id,target_id,target_frequency_hz,trial_prepared_wall_time,trial_start_wall_time,trial_end_wall_time,planned_duration_s,actual_duration_s,start_trial_id,start_status
1,3,12.000,2026-03-18T13:40:26.749,2026-03-18T13:40:30.850,2026-03-18T13:40:34.869,4.000,4.020,1,started
2,8,45.000,2026-03-18T13:40:37.890,2026-03-18T13:40:42.029,2026-03-18T13:40:46.030,4.000,4.000,2,started
3,7,40.000,2026-03-18T13:40:48.589,2026-03-18T13:40:52.690,2026-03-18T13:40:56.690,4.000,4.000,3,started
4,8,45.000,2026-03-18T13:40:58.210,2026-03-18T13:41:02.330,2026-03-18T13:41:06.330,4.000,4.000,4,started
5,1,8.000,2026-03-18T13:41:07.629,2026-03-18T13:41:11.730,2026-03-18T13:41:15.750,4.000,4.020,5,started
