trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,5,20.000,2026-03-18T15:13:26.221,2026-03-18T15:13:30.240,started,1,2026-03-18T15:13:26.221,1,2026-03-18T15:13:30.240,8760,12800,8866,12887,4022,1,1
2,2,10.000,2026-03-18T15:13:36.621,2026-03-18T15:13:40.640,started,1,2026-03-18T15:13:36.621,1,2026-03-18T15:13:40.640,19160,23200,19270,23290,4021,1,1
3,1,8.000,2026-03-18T15:13:53.220,2026-03-18T15:13:57.241,started,1,2026-03-18T15:13:53.220,1,2026-03-18T15:13:57.241,35800,39800,35874,39897,4024,1,1
