trial_id,target_id,target_frequency_hz,trial_start_wall,trial_end_wall,start_status,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,4,15.000,2026-03-18T11:41:01.948,2026-03-18T11:41:05.948,started,1,2026-03-18T11:41:01.948,1,2026-03-18T11:41:05.948,25680,29720,25791,29792,4002,1,1
2,6,30.000,2026-03-18T11:41:12.728,2026-03-18T11:41:16.748,started,1,2026-03-18T11:41:12.728,1,2026-03-18T11:41:16.748,36480,40520,36573,40593,4021,1,1
3,3,12.000,2026-03-18T11:41:23.188,2026-03-18T11:41:27.209,started,1,2026-03-18T11:41:23.188,1,2026-03-18T11:41:27.209,46960,50960,47034,51056,4023,1,1
4,1,8.000,2026-03-18T11:41:33.267,2026-03-18T11:41:37.268,started,1,2026-03-18T11:41:33.268,1,2026-03-18T11:41:37.268,57040,61040,57116,61117,4002,1,1
5,5,20.000,,,not_started,0,,0,,-1,-1,-1,-1,0,0,0
