trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,7,7,2026-03-18T15:02:07.656,2026-03-18T15:02:11.656,6596,10597,4002,1
2,8,8,2026-03-18T15:02:20.096,2026-03-18T15:02:24.117,19040,23062,4023,1
3,7,7,2026-03-18T15:02:31.317,2026-03-18T15:02:35.317,30264,34265,4002,1
4,5,5,2026-03-18T15:02:39.917,2026-03-18T15:02:43.917,38866,42868,4003,1
5,6,6,2026-03-18T15:02:49.437,2026-03-18T15:02:53.437,48389,52391,4003,1
