trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,4,4,2026-03-18T11:41:01.948,2026-03-18T11:41:05.948,25791,29792,4002,1
2,6,6,2026-03-18T11:41:12.728,2026-03-18T11:41:16.748,36573,40593,4021,1
3,3,3,2026-03-18T11:41:23.188,2026-03-18T11:41:27.209,47034,51056,4023,1
4,1,1,2026-03-18T11:41:33.267,2026-03-18T11:41:37.268,57116,61117,4002,1
