trial_id,target_id,frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,capture_saved,capture_path
1,3,12.000,2026-03-11T10:00:15.329,2026-03-11T10:00:17.349,2026-03-11T10:00:18.869,1,2026-03-11T10:00:17.449,0,
2,5,20.000,2026-03-11T10:00:19.889,2026-03-11T10:00:21.909,2026-03-11T10:00:23.429,1,2026-03-11T10:00:21.929,0,
3,2,10.000,2026-03-11T10:00:24.449,2026-03-11T10:00:26.469,2026-03-11T10:00:27.969,1,2026-03-11T10:00:26.509,0,
4,1,8.000,2026-03-11T10:00:28.989,2026-03-11T10:00:31.009,2026-03-11T10:00:32.529,1,2026-03-11T10:00:31.089,0,
