trial_id,target_id,frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,capture_saved,capture_path
1,3,12.000,2026-03-11T09:47:32.749,2026-03-11T09:47:34.769,2026-03-11T09:47:36.289,1,2026-03-11T09:47:34.809,0,
2,1,8.000,2026-03-11T09:47:37.309,2026-03-11T09:47:39.329,2026-03-11T09:47:40.849,1,2026-03-11T09:47:39.389,0,
3,1,8.000,2026-03-11T09:47:41.869,2026-03-11T09:47:43.889,2026-03-11T09:47:45.409,1,2026-03-11T09:47:43.989,0,
