trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,3,12.000,2026-03-16T14:12:03.841,2026-03-16T14:12:05.861,2026-03-16T14:12:07.381,1,2026-03-16T14:12:05.881
2,6,30.000,2026-03-16T14:12:08.401,2026-03-16T14:12:10.421,2026-03-16T14:12:11.941,1,2026-03-16T14:12:10.441
3,5,20.000,2026-03-16T14:12:12.961,2026-03-16T14:12:14.981,2026-03-16T14:12:16.501,1,2026-03-16T14:12:15.001
4,7,40.000,2026-03-16T14:12:17.521,2026-03-16T14:12:19.541,2026-03-16T14:12:21.061,1,2026-03-16T14:12:19.561
5,1,8.000,2026-03-16T14:12:22.081,2026-03-16T14:12:24.101,2026-03-16T14:12:25.621,1,2026-03-16T14:12:24.121
6,8,45.000,2026-03-16T14:12:26.641,2026-03-16T14:12:28.661,2026-03-16T14:12:30.181,1,2026-03-16T14:12:28.681
7,5,20.000,2026-03-16T14:12:31.201,2026-03-16T14:12:33.221,2026-03-16T14:12:34.741,1,2026-03-16T14:12:33.241
8,1,8.000,2026-03-16T14:12:35.761,2026-03-16T14:12:37.781,2026-03-16T14:12:39.301,1,2026-03-16T14:12:37.801
9,4,15.000,2026-03-16T14:12:40.321,2026-03-16T14:12:42.341,2026-03-16T14:12:43.861,1,2026-03-16T14:12:42.361
