trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,3,12.000,2026-03-12T11:02:26.534,2026-03-12T11:02:28.554,2026-03-12T11:02:30.074,1,2026-03-12T11:02:28.594
2,8,45.000,2026-03-12T11:02:31.094,2026-03-12T11:02:33.114,2026-03-12T11:02:34.634,1,2026-03-12T11:02:33.174
