trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,5,20.000,2026-03-17T10:12:06.002,2026-03-17T10:12:08.022,2026-03-17T10:12:09.542,1,2026-03-17T10:12:08.042
2,3,12.000,2026-03-17T10:12:10.562,2026-03-17T10:12:12.582,2026-03-17T10:12:14.102,1,2026-03-17T10:12:12.602
3,1,8.000,2026-03-17T10:12:15.122,2026-03-17T10:12:17.142,2026-03-17T10:12:18.662,1,2026-03-17T10:12:17.162
4,8,45.000,2026-03-17T10:12:19.682,2026-03-17T10:12:21.702,2026-03-17T10:12:23.222,1,2026-03-17T10:12:21.722
5,3,12.000,2026-03-17T10:12:24.242,2026-03-17T10:12:26.262,2026-03-17T10:12:27.782,1,2026-03-17T10:12:26.282
6,7,40.000,2026-03-17T10:12:28.802,2026-03-17T10:12:30.822,2026-03-17T10:12:32.342,1,2026-03-17T10:12:30.842
