trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,4,15.000,2026-03-17T10:18:11.820,2026-03-17T10:18:13.840,2026-03-17T10:18:15.360,1,2026-03-17T10:18:13.860
2,8,45.000,2026-03-17T10:18:16.380,2026-03-17T10:18:18.400,2026-03-17T10:18:19.920,1,2026-03-17T10:18:18.420
3,1,8.000,2026-03-17T10:18:20.940,2026-03-17T10:18:22.960,2026-03-17T10:18:24.480,1,2026-03-17T10:18:22.980
4,8,45.000,2026-03-17T10:18:25.500,2026-03-17T10:18:27.520,2026-03-17T10:18:29.040,1,2026-03-17T10:18:27.540
5,8,45.000,2026-03-17T10:18:30.060,2026-03-17T10:18:32.080,2026-03-17T10:18:33.600,1,2026-03-17T10:18:32.100
6,7,40.000,2026-03-17T10:18:34.620,2026-03-17T10:18:36.640,2026-03-17T10:18:38.160,1,2026-03-17T10:18:36.660
