trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,5,20.000,2026-03-12T10:06:34.600,2026-03-12T10:06:36.619,2026-03-12T10:06:38.139,1,2026-03-12T10:06:36.659
2,1,8.000,2026-03-12T10:06:39.159,2026-03-12T10:06:41.179,2026-03-12T10:06:42.700,1,2026-03-12T10:06:41.240
3,8,45.000,2026-03-12T10:06:43.719,2026-03-12T10:06:45.739,2026-03-12T10:06:47.259,1,2026-03-12T10:06:45.840
4,6,30.000,2026-03-12T10:06:48.280,2026-03-12T10:06:50.299,2026-03-12T10:06:51.819,1,2026-03-12T10:06:50.319
5,6,30.000,2026-03-12T10:06:52.840,2026-03-12T10:06:54.859,2026-03-12T10:06:56.379,1,2026-03-12T10:06:54.899
6,2,10.000,2026-03-12T10:06:57.399,2026-03-12T10:06:59.420,2026-03-12T10:07:00.940,1,2026-03-12T10:06:59.500
