trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,8,45.000,2026-03-12T15:59:57.409,2026-03-12T15:59:59.429,2026-03-12T16:00:00.949,1,2026-03-12T15:59:59.489
2,3,12.000,2026-03-12T16:00:01.969,2026-03-12T16:00:03.989,2026-03-12T16:00:05.509,1,2026-03-12T16:00:04.069
3,1,8.000,2026-03-12T16:00:06.529,2026-03-12T16:00:08.549,2026-03-12T16:00:10.069,1,2026-03-12T16:00:08.649
4,6,30.000,2026-03-12T16:00:11.089,2026-03-12T16:00:13.089,2026-03-12T16:00:14.609,1,2026-03-12T16:00:13.129
5,1,8.000,2026-03-12T16:00:15.629,2026-03-12T16:00:17.649,2026-03-12T16:00:19.169,1,2026-03-12T16:00:17.669
