trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall
1,1,8.000,2026-03-17T10:23:41.070,2026-03-17T10:23:43.090,2026-03-17T10:23:44.610,1,2026-03-17T10:23:43.110
2,4,15.000,2026-03-17T10:23:45.630,2026-03-17T10:23:47.650,2026-03-17T10:23:49.170,1,2026-03-17T10:23:47.670
3,3,12.000,2026-03-17T10:23:50.190,2026-03-17T10:23:52.210,2026-03-17T10:23:53.730,1,2026-03-17T10:23:52.230
4,8,45.000,2026-03-17T10:23:54.750,2026-03-17T10:23:56.770,2026-03-17T10:23:58.290,1,2026-03-17T10:23:56.790
5,3,12.000,2026-03-17T10:23:59.310,2026-03-17T10:24:01.330,2026-03-17T10:24:02.850,1,2026-03-17T10:24:01.350
6,4,15.000,2026-03-17T10:24:03.870,2026-03-17T10:24:05.890,2026-03-17T10:24:07.410,1,2026-03-17T10:24:05.910
